127.0.0.1 - - [20/Nov/2025:16:14:11 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:14:12 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:14:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:14:34 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:15:28 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:15:40 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:16:15 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:16:23 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:16:40 +0530] "GET /requstdispatcher/login?un=XYZ&pass=123 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:16:50 +0530] "GET /requstdispatcher/login?un=XYZ&pass=12 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:10 +0530] "GET /requstdispatcher/login?un=XYZ&pass=12 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:14 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:14 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:14 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:14 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:14 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:14 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:17:20 +0530] "GET /requstdispatcher/login?un=sd&pass=sdf HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:18:19 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:18:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:18:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:19:58 +0530] "GET /requstdispatcher/login?un=sd&pass=sdf HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:19:58 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:27:49 +0530] "GET /requstdispatcher/login?un=sd&pass=sdf HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:27:49 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:13 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:15 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:15 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:15 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:15 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:15 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:15 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:28 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:28 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:31 +0530] "GET /robots.txt HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:33 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:28:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:02 +0530] "GET /requstdispatcher HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:02 +0530] "GET /requstdispatcher/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:04 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:26 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:27 +0530] "GET /requstdispatcher/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:27 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:34 +0530] "GET /requstdispatcher/login?un=XYZ&pass=123 HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [20/Nov/2025:16:29:35 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
